feature,feature_type,kingdom,phylum,order,class,family,genus,species
superpathway of sialic acids and CMP-sialic acids biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
glycocholate metabolism (bacteria),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of sulfur oxidation (Acidianus ambivalens),pathway,NA,NA,NA,NA,NA,NA,NA
monoacylglycerol metabolism (yeast),pathway,NA,NA,NA,NA,NA,NA,NA
leukotriene biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
glycogen biosynthesis II (from UDP-D-Glucose),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of phosphatidate biosynthesis (yeast),pathway,NA,NA,NA,NA,NA,NA,NA
photosynthetic 3-hydroxybutanoate biosynthesis (engineered),pathway,NA,NA,NA,NA,NA,NA,NA
oxygenic photosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
hydrogen production VIII,pathway,NA,NA,NA,NA,NA,NA,NA
photosynthesis light reactions,pathway,NA,NA,NA,NA,NA,NA,NA
L-alanine fermentation to propanoate and acetate,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of fatty acid biosynthesis I (E. coli),pathway,NA,NA,NA,NA,NA,NA,NA
pyridine nucleotide cycling (plants),pathway,NA,NA,NA,NA,NA,NA,NA
L-phenylalanine degradation III,pathway,NA,NA,NA,NA,NA,NA,NA
L-valine degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
UDP-N-acetyl-D-galactosamine biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
L-lysine degradation XI (mammalian),pathway,NA,NA,NA,NA,NA,NA,NA
chitin biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
sphingolipid biosynthesis (plants),pathway,NA,NA,NA,NA,NA,NA,NA
UDP-N-acetyl-D-glucosamine biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
Kdo transfer to lipid IVA III (Chlamydia),pathway,NA,NA,NA,NA,NA,NA,NA
Escherichia coli serotype O86 O-antigen biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
Fe(II) oxidation,pathway,NA,NA,NA,NA,NA,NA,NA
stearate biosynthesis III (fungi),pathway,NA,NA,NA,NA,NA,NA,NA
3-phosphoinositide biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
"D-myo-inositol (1,4,5)-trisphosphate biosynthesis",pathway,NA,NA,NA,NA,NA,NA,NA
myo-inositol degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
methylphosphonate degradation II,pathway,NA,NA,NA,NA,NA,NA,NA
xylose degradation IV,pathway,NA,NA,NA,NA,NA,NA,NA
"cholate degradation (bacteria, anaerobic)",pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of 4-hydroxybenzoate biosynthesis (yeast),pathway,NA,NA,NA,NA,NA,NA,NA
4-hydroxybenzoate biosynthesis I (eukaryotes),pathway,NA,NA,NA,NA,NA,NA,NA
fatty acid salvage,pathway,NA,NA,NA,NA,NA,NA,NA
NAD biosynthesis II (from tryptophan),pathway,NA,NA,NA,NA,NA,NA,NA
sphingolipid biosynthesis (yeast),pathway,NA,NA,NA,NA,NA,NA,NA
L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,pathway,NA,NA,NA,NA,NA,NA,NA
"L-tryptophan degradation XI (mammalian, via kynurenine)",pathway,NA,NA,NA,NA,NA,NA,NA
photorespiration,pathway,NA,NA,NA,NA,NA,NA,NA
peptidoglycan biosynthesis II (staphylococci),pathway,NA,NA,NA,NA,NA,NA,NA
ubiquinol-8 biosynthesis (eukaryotic),pathway,NA,NA,NA,NA,NA,NA,NA
ubiquinol-9 biosynthesis (eukaryotic),pathway,NA,NA,NA,NA,NA,NA,NA
ubiquinol-7 biosynthesis (eukaryotic),pathway,NA,NA,NA,NA,NA,NA,NA
diacylglycerol and triacylglycerol biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
serotonin degradation,pathway,NA,NA,NA,NA,NA,NA,NA
"L-tryptophan degradation X (mammalian, via tryptamine)",pathway,NA,NA,NA,NA,NA,NA,NA
phospholipases,pathway,NA,NA,NA,NA,NA,NA,NA
wybutosine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
L-methionine salvage cycle I (bacteria and plants),pathway,NA,NA,NA,NA,NA,NA,NA
L-methionine salvage cycle II (plants),pathway,NA,NA,NA,NA,NA,NA,NA
L-methionine salvage cycle III,pathway,NA,NA,NA,NA,NA,NA,NA
Entner-Doudoroff pathway III (semi-phosphorylative),pathway,NA,NA,NA,NA,NA,NA,NA
L-ascorbate biosynthesis V,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of polyamine biosynthesis III,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of demethylmenaquinol-6 biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
CMP-legionaminate biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
CMP-pseudaminate biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
toluene degradation I (aerobic) (via o-cresol),pathway,NA,NA,NA,NA,NA,NA,NA
toluene degradation II (aerobic) (via 4-methylcatechol),pathway,NA,NA,NA,NA,NA,NA,NA
sucrose degradation V (sucrose &alpha;-glucosidase),pathway,NA,NA,NA,NA,NA,NA,NA
ubiquinol-10 biosynthesis (eukaryotic),pathway,NA,NA,NA,NA,NA,NA,NA
folate transformations I,pathway,NA,NA,NA,NA,NA,NA,NA
L-tryptophan degradation VIII (to tryptophol),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of NAD biosynthesis in eukaryotes,pathway,NA,NA,NA,NA,NA,NA,NA
ergosterol biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
"protein N-glycosylation (eukaryotic, high mannose)",pathway,NA,NA,NA,NA,NA,NA,NA
purine deoxyribonucleosides salvage,pathway,NA,NA,NA,NA,NA,NA,NA
10-cis-heptadecenoyl-CoA degradation (yeast),pathway,NA,NA,NA,NA,NA,NA,NA
"10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)",pathway,NA,NA,NA,NA,NA,NA,NA
tRNA methylation (yeast),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of ergosterol biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
docosahexaenoate biosynthesis III (mammals),pathway,NA,NA,NA,NA,NA,NA,NA
juniperonate biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
docosahexaenoate biosynthesis I (lower eukaryotes),pathway,NA,NA,NA,NA,NA,NA,NA
very long chain fatty acid biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
sciadonate biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
very long chain fatty acid biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
diphthamide biosynthesis (eukaryotes),pathway,NA,NA,NA,NA,NA,NA,NA
arachidonate biosynthesis III (metazoa),pathway,NA,NA,NA,NA,NA,NA,NA
zymosterol biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
mycothiol biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
succinate fermentation to butanoate,pathway,NA,NA,NA,NA,NA,NA,NA
aromatic biogenic amine degradation (bacteria),pathway,NA,NA,NA,NA,NA,NA,NA
chondroitin sulfate degradation I (bacterial),pathway,NA,NA,NA,NA,NA,NA,NA
L-ornithine degradation II (Stickland reaction),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of atrazine degradation,pathway,NA,NA,NA,NA,NA,NA,NA
reductive TCA cycle II,pathway,NA,NA,NA,NA,NA,NA,NA
palmitate biosynthesis I (animals and fungi),pathway,NA,NA,NA,NA,NA,NA,NA
glycine betaine degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
"UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis",pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of quinolone and alkylquinolone biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
L-arginine degradation IX (arginine:pyruvate transaminase pathway),pathway,NA,NA,NA,NA,NA,NA,NA
cis-genanyl-CoA degradation,pathway,NA,NA,NA,NA,NA,NA,NA
L-arginine degradation VIII (arginine oxidase pathway),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of aerobic toluene degradation,pathway,NA,NA,NA,NA,NA,NA,NA
toluene degradation V (aerobic) (via toluene-cis-diol),pathway,NA,NA,NA,NA,NA,NA,NA
L-lysine biosynthesis IV,pathway,NA,NA,NA,NA,NA,NA,NA
formaldehyde assimilation I (serine pathway),pathway,NA,NA,NA,NA,NA,NA,NA
L-arabinose degradation IV,pathway,NA,NA,NA,NA,NA,NA,NA
phosphopantothenate biosynthesis III,pathway,NA,NA,NA,NA,NA,NA,NA
methanogenesis from acetate,pathway,NA,NA,NA,NA,NA,NA,NA
sitosterol degradation to androstenedione,pathway,NA,NA,NA,NA,NA,NA,NA
reductive acetyl coenzyme A pathway,pathway,NA,NA,NA,NA,NA,NA,NA
L-isoleucine degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
2-methylbutanoate biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
pantothenate and coenzyme A biosynthesis II (plants),pathway,NA,NA,NA,NA,NA,NA,NA
&beta;-alanine biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
